,PAYMENT_ID,USER_ID,PAYMENT_DATE,PAYEE_NAME,SCHEDULE_TYPE,GTV,NET_REVENUE,REVENUE,PAYEE_NAME_WITHOUT_NUMBERS
0,604030e48a7d0950d4ce95f1da2481b6,150588,2023-11-23,151898_Giftworks Creation,one off,1167.14682,10.7386608,26.2626994,giftworks creation
1,c3e32f2b3a2459d7038bd78362bded30,93024,2024-07-17,153331_SIMFONI PESONA SDN BHD,one off,1202.259814,10.5111468,41.4985536,simfoni pesona sdn bhd
2,44550d669aa5c3d35b67e3ff08a1b474,16895,2024-07-15,223154_Dyna Cool Air Pte Ltd,one off,115.728788,0.9555588,2.6012434,dyna cool air pte ltd
3,db018d5d24cb868e48b45ebf933da480,48577,2024-06-27,50844_Aktiff TG Enterprise,one off,400.42464,5.0280594,10.4125574,aktiff tg enterprise
4,20d2865de84267b6a0bbe7c0da70fa1d,201808,2024-10-11,207366_Drive Team Pte Ltd,one off,530.866,2.881844,13.537083,drive team pte ltd
5,bcb660731fb540a8f90b5e11b538bfea,155080,2024-07-23,225601_THINKCAR PTE LTD,one off,2948.58144,14.522977,53.0714324,thinkcar pte ltd
6,90c7f7aaffa7b9829debf0c397cccab2,170573,2024-05-03,169449_Home Landscape Pte Ltd,one off,198.392208,1.7215226,4.4668582,home landscape pte ltd
7,c84f0ef0991120fdc213978ada00d69c,176749,2024-04-09,185921_Havelock Law Corporation,one off,2479.9026,22.9637464,55.8016004,havelock law corporation
8,1e74c696be5e57fbd9ecaf68d4d0b3aa,119134,2024-09-19,242293_WFC SPORTS MANAGEMENT PTE LTD,one off,197.1788,3.03352,5.7181852,wfc sports management pte ltd
9,f74ac689a7733169913080033e98108b,37330,2024-09-18,96151_Dhillon & Panoo LLC,one off,17758.0137336,70.6127618,301.8883266,dhillon & panoo llc
10,6a5f669e7c55785b510e5b4452f4870a,159355,2024-05-28,154088_Soka Gakkai Singapore,recurring,627.93864,7.887152,16.3279214,soka gakkai singapore
11,30a567d47d341541847ac38fc0429c50,87399,2024-04-08,98744_Amahs On Wheels Pte Ltd,one off,433.982955,1.1148186,11.2846944,amahs on wheels pte ltd
12,39eecbebd0b1b9496a91d39d2160a7e3,122766,2024-06-18,213728_COLOSSAL WEDDINGS,one off,1099.651,3.0866066,28.590926,colossal weddings
13,b3416959f2526bc6bd0701b33979f2a4,146575,2024-09-16,241267_ERA REALTY NETWORK PTE LTD,one off,3620.657796,17.8750166,65.1751772,era realty network pte ltd
14,04c99872cf0b0802e031d1b6e7d4da8a,163230,2024-01-08,163361_UPPF MALAYSIA SDN. BHD.,one off,1195.96526,0.6977096,44.1832188,uppf malaysia sdn. bhd.
15,f35fe4bf8d7a0c2cb42a20a713388d7f,175448,2024-07-08,176868_Florence development Pte Ltd - Maintenance,one off,465.5391468,4.2545118,10.4732278,florence development pte ltd - maintenance
16,aa2ca1b9a14e0fa65a3243b0e23741e2,217551,2024-10-28,226357_Anytime Fitness,recurring,197.1788,0.985894,3.6478078,anytime fitness
17,97b0d3fc19e0874bb86473b36f8cab55,105563,2024-01-05,103802_Laguna Holdings Pte Ltd,one off,692.3326858,3.2382826,12.4601834,laguna holdings pte ltd
18,69a924a105a252de6da23201c7f9b842,174704,2024-09-17,198507_Moral Home For The Aged Sick Ltd,one off,1265.129516,6.1580456,22.7741514,moral home for the aged sick ltd
19,eef3970e9a42d22214c7ca4a16df4825,150159,2023-10-24,146038_MCS Garage,one off,7180.34184,34.1043486,129.2431196,mcs garage
20,f9c5648d3f3905d2d4ac643392597c82,107225,2023-10-16,144921_LINGS PALETTE,one off,701.5015,-9.252236,0.0,lings palette
21,a16484a878d7d4fe0215cd3e9358e6ec,1126,2024-10-17,31689_LK Aircon & Engineering Pte Ltd,one off,79.6299,1.3954192,2.578492,lk aircon & engineering pte ltd
22,03745e97583f6a4b9d77fa9fabead047,19434,2024-08-14,231936_A STAR TRANSPORTATION & SERVICES,one off,1152.7376,-1.0768996,26.5129648,a star transportation & services
23,6d1b10bb959c5d091cb873d2a0e6a701,88432,2023-11-07,98300_The Fort,one off,758.38,-0.5156984,17.06355,the fort
24,efed89045b9b98f1588c7a6a4223d674,3415,2024-05-15,173054_The Nurturing Nest Pte Ltd,one off,10740.4581606,36.2733154,177.2182384,the nurturing nest pte ltd
25,b9ffd8f43de9868d203e129be7721e55,167865,2024-09-25,177584_YELLOW BUS SERVICES PTE. LTD.,one off,1029.159579,9.7679344,23.1533414,yellow bus services pte. ltd.
26,dece2fd094953827e0e96dc6aa8377c0,169623,2024-08-19,232781_The Makeover Guys Sdn Bhd,one off,451.7973012,-0.6597906,19.0808408,the makeover guys sdn bhd
27,8055808a807355e9c45af3959210cef8,174685,2024-03-26,175110_Throne landscape & construction pte Ltd ,recurring,265.433,1.2968298,4.9143024,throne landscape & construction pte ltd 
28,14f06ccff557bd9f4c427c83d413dfa2,186209,2024-07-01,207085_BADAN PENGURUSAN BERSAMA LAKEVILLE RESIDENCE,one off,256.5675378,-0.3488548,12.8090382,badan pengurusan bersama lakeville residence
29,3ed4bffeedc64abf01cfd9ec82070ef7,3415,2024-09-20,242577_ZEUS CREATION PTE. LTD.,one off,1440.922,5.194903,23.775213,zeus creation pte. ltd.
30,fe2a64aeffac47900017eab2e601ad1b,221617,2024-08-28,230145_Uncle Lin Transport,one off,530.866,2.5102378,9.555588,uncle lin transport
31,fa71637fb3d4c23b65ed0a6a46278489,143527,2024-07-18,217003_Eufloria Florals,one off,373.50215,-0.3867738,8.4028504,eufloria florals
32,3e259e55c499772d58666f148556b4e5,43818,2024-03-25,181027_BRILLIANT TOTS JUNIOR PTE. LTD,recurring,1061.732,5.5589254,19.642042,brilliant tots junior pte. ltd
33,126daaa09b2b091c498983056e074dc8,196107,2024-08-30,236488_Quantic Holdings Inc dba Quantic School of Business and Technology,one off,2767.7381452,-20.8706176,53.4202872,quantic holdings inc dba quantic school of business and technology
34,eacd8e8dbc1ec7eae886b1c0bfd3b695,191093,2024-06-11,211311_THOMSON MEDICAL PTE. LTD.,one off,456.3779164,5.7485204,11.868647,thomson medical pte. ltd.
35,7e2ed718fe4e0cea2d93bd19e41ba81f,53070,2024-07-26,47217_GENIUS SCHOOL HOUSE,recurring,379.19,1.9414528,7.015015,genius school house
36,2d604b5dcbe71f0d366fe8aff3b0dcf4,188974,2024-04-16,188949_ZENEVENTS PTE. LTD.,one off,848.62722,10.7007418,22.0612742,zenevents pte. ltd.
37,f669f18255953d5166295b936cdf8a6c,111514,2024-07-26,112839_ORIX Leasing Singapore Limited,one off,851.433226,-0.6522068,19.1566788,orix leasing singapore limited
