,DWH_CARDUP_PAYMENT_ID,CARDUP_PAYMENT_CUSTOMER_COMPANY_ID,CARDUP_PAYMENT_SUCCESS_AT_UTC_TS,CARDUP_PAYMENT_PAYEE_NAME,CARDUP_PAYMENT_PAYMENT_TYPE,CARDUP_PAYMENT_SCHEDULE_TYPE,CARDUP_PAYMENT_USD_AMT,CARDUP_PAYMENT_NET_REVENUE_USD_AMT,CARDUP_PAYMENT_TOTAL_REVENUE_USD_AMT,PAYEE_NAME_WITH_SPACES,tokens,tokens_corpus
10,7ee615f97dfe9e9031e1eebe421b8560,,2024-08-13 04:26:03,139376_PROPNEX REALTY PTE LTD,Misc,recurring,1983.92208,10.7083256,36.705592, propnex realty  ,"['propnex', 'realty']",propnex realty
29,f718029a5803e5624b7e11faf74539fa,,2024-07-22 14:42:12,225309_Apex Law LLC,Misc,recurring,1365.084,7.3259508,25.254054, apex law ,"['apex', 'law']",apex law
53,8ee27302372089e52e8e54eda9c605c1,,2024-10-03 04:12:59,47912_The American Club ,Misc,recurring,1137.57,3.2762016,18.20112, the american club ,"['american', 'club']",american club
84,7f9afed78579df42fd9391bb81571949,,2024-04-16 04:04:02,52606_X-TREME AUTO PTE LTD,Misc,recurring,947.975,11.9672364,24.64735, xtreme auto  ,"['xtreme', 'auto']",xtreme auto
108,2090d176064c770f3a55e8199a014b95,,2023-12-22 04:08:42,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,1669.8162516,8.8199594,30.8888174, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
132,94f953a8c4510eb170422906d02adb05,,2024-08-16 04:04:07,200143_OCBC Bank,Misc,recurring,5427.6725734,29.5237334,100.409512, ocbc bank,"['ocbc', 'bank']",ocbc bank
150,36fd604a2ad75c9769e01a1f1789add8,,2023-12-15 04:02:09,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2460.981019,11.8534794,44.2969758, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
152,3b038b0adc3f49f08a85bab729c16391,,2023-10-24 04:04:15,61507_CL LEASING PTE. LTD.,Misc,recurring,1335.052152,3.6478078,34.7110526, cl leasing  ,"['cl', 'leasing']",cl leasing
261,384403c76b3bc97f27dc9d4fd49ce74f,,2024-10-15 04:05:42,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2483.7627542,6.8178362,39.739112, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
263,9291d936c276a2aa03950c308cdadabc,,2023-11-28 04:35:35,147656_CYCLE & CARRIAGE LEASING PTE. LTD.,Misc,recurring,1895.95,-1.0313968,42.658875, cycle  carriage leasing  ,"['cycle', 'carriage', 'leasing']",cycle carriage leasing
