,DWH_CARDUP_PAYMENT_ID,CARDUP_PAYMENT_CUSTOMER_COMPANY_ID,CARDUP_PAYMENT_SUCCESS_AT_UTC_TS,CARDUP_PAYMENT_PAYEE_NAME,CARDUP_PAYMENT_PAYMENT_TYPE,CARDUP_PAYMENT_SCHEDULE_TYPE,CARDUP_PAYMENT_USD_AMT,CARDUP_PAYMENT_NET_REVENUE_USD_AMT,CARDUP_PAYMENT_TOTAL_REVENUE_USD_AMT,PAYEE_NAME_WITH_SPACES,tokens,tokens_corpus
2,480c10bb64732f04537fef15cbebe775,,2024-07-16 04:04:27,43217_MCST 4439,Misc,recurring,591.5364,2.8135898,10.6476552, mcst ,['mcst'],mcst
4,493d6dc58451044e53654daeda57f5f9,,2024-10-08 04:15:45,197008_PASIR RIS-PUNGGOL TOWN COUNCIL,Misc,recurring,28.856359,0.0227514,0.530866, pasir rispunggol town council,"['pasir', 'rispunggol', 'town', 'council']",pasir rispunggol town council
9,964859f8cdc3dee3770fed2e19a51627,,2024-05-21 04:04:47,185696_SF Holdings One Ptd Ltd,Misc,recurring,113.757,0.4246928,2.047626, sf holdings one ptd ,"['sf', 'holdings', 'one', 'ptd']",sf holdings one ptd
10,7ee615f97dfe9e9031e1eebe421b8560,,2024-08-13 04:26:03,139376_PROPNEX REALTY PTE LTD,Misc,recurring,1983.92208,10.7083256,36.705592, propnex realty  ,"['propnex', 'realty']",propnex realty
21,82bd75c34768ade8ea437f3fddbf6e2c,,2023-11-09 04:04:47,119169_Novel Haven Pte Ltd,Misc,recurring,265.433,1.2968298,4.9143024, novel haven  ,['novel'],novel
27,10ae7ae82039fb2332237cdcee01a310,,2024-05-20 04:16:51,167458_Chinese Swimming Club,Misc,recurring,82.66342,0.3185196,1.5319276, chinese swimming club,"['chinese', 'swimming', 'club']",chinese swimming club
29,f718029a5803e5624b7e11faf74539fa,,2024-07-22 14:42:12,225309_Apex Law LLC,Misc,recurring,1365.084,7.3259508,25.254054, apex law ,"['apex', 'law']",apex law
30,13b0d114cd538ee82fe76405d644c212,,2024-05-20 04:41:45,81162_BIS MOTORING,Misc,recurring,414.07548,2.0931288,7.659638, bis motoring,"['bis', 'motoring']",bis motoring
36,4086ace19506c8aec0c53d03ddfe4e23,,2024-08-13 04:16:54,211611_Dementia Singapore Ltd,Misc,recurring,505.08108,2.6315786,9.3432416, dementia  ,['dementia'],dementia
38,d2f932b3c45dbcee706aeeb26607e2c2,,2024-08-28 04:04:19,179522_Senoko Energy Supply Pte Ltd,Misc,recurring,163.81008,0.7659638,3.03352, senoko energy supply  ,"['senoko', 'energy', 'supply']",senoko energy supply
39,34839bec0c02d022b74d7a5362181301,,2024-04-09 04:04:32,134197_THE WORK PROJECT SINGAPORE PTE. LTD.,Misc,recurring,236.0912778,2.881844,6.1352942, the work project   ,"['work', 'project']",work project
46,f91f1d9e230f5cebd5fd38f4408c7fe2,,2024-01-17 04:03:58,156652_Tong Tar Transport Service Pte Ltd,Misc,recurring,36.40224,0.0682542,0.6749582, tong tar transport service  ,"['tong', 'tar', 'transport', 'service']",tong tar transport service
47,ad551f97074fd0ae9907a9166dbc2697,,2023-12-29 04:03:56,160879_Cohabit Pte Ltd,Misc,recurring,439.8604,2.2296372,8.1374174, cohabit  ,['cohabit'],cohabit
