PAYEE_COUNTRY,PAYEE_NAME_EDITED_TOKENS_CORPUS,PAYEE_NAME_MATCHING_TUPLE,PAYEE_NAME_MATCHING,PAYEE_NAME_MATCHING_SCORE,PRIMARY_SSIC_DESCRIPTION,PRIMARY_USER_DESCRIBED_ACTIVITY,SECONDARY_SSIC_DESCRIPTION,SECONDARY_USER_DESCRIBED_ACTIVITY
SG,breakpoint invoicing,"('breakpoint', 66.66666666666667, 201770)",breakpoint,66.66666666666667,LEGAL ACTIVITIES (EXCLUDING ONLINE MARKETPLACES),PROVISION OF LEGAL SERVICES,na,na
SG,benhills marketing services,"('benhills marketing services', 100.0, 213496)",benhills marketing services,100.0,OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (E.G. ADMINISTRATION OF LOYALTY PROGRAMMES),FLYER DISTRIBUTION SERVICES,OTHER SPECIALISED OFFICE SUPPORT ACTIVITIES N.E.C.,FLYER DISTRIBUTION SERVICES
SG,yan ballet east,"('yan ballet east', 100.0, 247950)",yan ballet east,100.0,"TRAINING COURSES FOR MUSIC, DANCING, ART, SPEECH AND DRAMA",BALLET INSTRUCTION,na,na
SG,novel,"('novel', 100.0, 499902)",novel,100.0,"RETAIL SALE OF COMPUTER HARDWARE (INCLUDING HANDHELD COMPUTERS) AND PERIPHERAL EQUIPMENT, AND COMPUTER SOFTWARE (EXCEPT GAMES AND CYBERSECURITY HARDWARE AND SOFTWARE)",ONLINE SALES OF MOBILE ACCESSORIES AND EREADERS,na,na
SG,crev consultancy,"('crev consultancy', 100.0, 389922)",crev consultancy,100.0,REAL ESTATE AGENCIES AND VALUATION SERVICES,REAL ESTATE AGENCY VALUATION,REAL ESTATE ACTIVITIES ON A FEE OR COMMISSION BASIS N.E.C. (EXCLUDING ONLINE MARKETPLACES),REAL ESTATE ACTIVITIES ONCONTRACT ON FEE
SG,revolving transport,"('revolving transport', 100.0, 52526)",revolving transport,100.0,FREIGHT TRANSPORT ARRANGEMENT,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na
SG,line services,"('lin services', 96.0, 441441)",lin services,96.0,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,na,na
SG,san hup bee air conditioning services,"('san hup bee air-conditioning services', 86.48648648648648, 219644)",san hup bee air-conditioning services,86.48648648648648,"INSTALLATION OF PLUMBING, HEATING (NON-ELECTRIC) AND AIR-CONDITIONING SYSTEMS",na,na,na
SG,cross-blades,"('cross-blades', 100.0, 388185)",cross-blades,100.0,TRAINING COURSES FOR SPORTS AND GAMES,HISTORICAL WEAPONRY EDUCATION AND TEAMBUILDING,EVENT/CONCERT ORGANISERS,TEAMBUILDING EVENTS
SG,hong choo catering service,"('hong choo catering service', 100.0, 533326)",hong choo catering service,100.0,FOOD CATERERS,na,na,na
SG,cca partners,"('cca partners', 100.0, 389003)",cca partners,100.0,GENERAL BUILDING ENGINEERING DESIGN AND CONSULTANCY SERVICES,na,na,na
SG,absolute inspection,"('absolute inspection', 100.0, 343685)",absolute inspection,100.0,GENERAL BUILDING ENGINEERING DESIGN AND CONSULTANCY SERVICES,na,BUILDING CONSTRUCTION N.E.C.,na
SG,j c star contractor,"('j c star contractor', 100.0, 286016)",j c star contractor,100.0,GENERAL CONTRACTORS (NON-BUILDING CONSTRUCTION),na,DOMESTIC/HOUSEHOLD CLEANING SERVICES (EXCLUDING ONLINE MARKETPLACES),na
SG,j technik private limited,"('j technik private limited', 100.0, 277876)",j technik private limited,100.0,WHOLESALE OF PARTS AND ACCESSORIES FOR VEHICLES,SELL PARTS AND ACCESSORIES FOR CAR,REPAIR AND MAINTENANCE OF MOTOR VEHICLES (INCLUDING INSTALLATION OF PARTS & ACCESSORIES),"REPAIR AND INSTALL PARTS, AND SERVICING FOR CAR"
SG,pace enterprise,"('pace enterprise', 100.0, 140206)",pace enterprise,100.0,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),na,na,na
SG,fujifilm business innovation singapore,"('fujifilm business innovation singapore', 100.0, 26317)",fujifilm business innovation singapore,100.0,WHOLESALE OF OFFICE MACHINES AND EQUIPMENT (INCLUDING ACCESSORIES),WHOLESALE AND RETAIL OF OFFICE MACHINES AND EQUIPMENT (INCLUDING ACCESSORIES),REPAIR AND MAINTENANCE OF OFFICE MACHINERY AND EQUIPMENT,na
SG,winebanc,"('winebanc', 100.0, 19254)",winebanc,100.0,GENERAL WAREHOUSING,na,"SPECIALISED STORAGE N.E.C. (E.G. WINE WAREHOUSING, DOCUMENT STORAGE AND WAREHOUSING)",na
SG,sri,"('sri', 100.0, 304418)",sri,100.0,REAL ESTATE AGENCIES AND VALUATION SERVICES,na,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),na
SG,mutts mittens,"('mutts mittens', 100.0, 446718)",mutts mittens,100.0,CARE SERVICES FOR PETS AND ANIMALS,na,VETERINARY ACTIVITIES,na
SG,auto exchange rentals,"('auto exchange rentals', 100.0, 84173)",auto exchange rentals,100.0,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,IMPORT AND EXPORT OF FRUITS AND VEGETABLES,na,na
SG,cogito wines,"('cogito wines', 100.0, 396183)",cogito wines,100.0,RETAIL SALE OF BEVERAGES,na,"WHOLESALE OF LIQUOR, SOFT DRINKS AND BEVERAGES",na
SG,pristine piano,"('pristine piano', 100.0, 131507)",pristine piano,100.0,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,IMPORT & EXPORT OF NEW & OLD PIANOS,REPAIR OF OTHER PERSONAL AND HOUSEHOLD GOODS N.E.C. (EXCLUDING ONLINE MARKETPLACES),RECONDITION OF USED PIANOS
SG,kgc workshop,"('kgc workshop', 100.0, 113895)",kgc workshop,100.0,REPAIR AND MAINTENANCE OF MOTOR VEHICLES (INCLUDING INSTALLATION OF PARTS & ACCESSORIES),na,RUSTPROOFING OF METALS AND FORMED PRODUCTS,na
SG,sdd associates,"('sdd associates', 100.0, 309290)",sdd associates,100.0,BUILDING CONSTRUCTION N.E.C.,na,INTERIOR DESIGN SERVICES,na
